"หลักการเขียนโปรแกรม","nanazenislovingShop","ฝ่ายตำราวิชาการคอมพิวเตอร์",9786160804,"หนังสือเรียน","""หลักการเขียนโปรแกรม"" เล่มนี้ นำเสนอเนื้อหาตรงตามหลักสูตรประกาศนียบัตรวิชาชีพ (ปวช.) รายวิชาหลักการเขียนโปรแกรม (2201-2410) โดยจะได้เรียนรู้ถึงความสำคัญของอัลกอริทึม เข้าใจตรรกะเกี่ยวกับโปรแกรม เรียนรู้ทักษะและวิธีการเขียนโปรแกรมที่ถูกต้อง","การเรียนรู้",หลักการเขียนโปรแกรม-2021-SEPTEMBER-27-0220.png,6,304,1,79.2,2021-09-27T22:53:37.721859100
"หลักการเขียนโปรแกรม","nanazenislovingShop","ฝ่ายตำราวิชาการคอมพิวเตอร์",9786160804,"หนังสือเรียน","""หลักการเขียนโปรแกรม"" เล่มนี้ นำเสนอเนื้อหาตรงตามหลักสูตรประกาศนียบัตรวิชาชีพ (ปวช.) รายวิชาหลักการเขียนโปรแกรม (2201-2410) โดยจะได้เรียนรู้ถึงความสำคัญของอัลกอริทึม เข้าใจตรรกะเกี่ยวกับโปรแกรม เรียนรู้ทักษะและวิธีการเขียนโปรแกรมที่ถูกต้อง","การเรียนรู้",หลักการเขียนโปรแกรม-2021-SEPTEMBER-27-0220.png,6,304,1,79.2,2021-09-27T22:53:37.721859100
"หลักการเขียนโปรแกรม","nanazenislovingShop","ฝ่ายตำราวิชาการคอมพิวเตอร์",9786160804,"หนังสือเรียน","""หลักการเขียนโปรแกรม"" เล่มนี้ นำเสนอเนื้อหาตรงตามหลักสูตรประกาศนียบัตรวิชาชีพ (ปวช.) รายวิชาหลักการเขียนโปรแกรม (2201-2410) โดยจะได้เรียนรู้ถึงความสำคัญของอัลกอริทึม เข้าใจตรรกะเกี่ยวกับโปรแกรม เรียนรู้ทักษะและวิธีการเขียนโปรแกรมที่ถูกต้อง","การเรียนรู้",หลักการเขียนโปรแกรม-2021-SEPTEMBER-27-0220.png,6,304,1,79.2,2021-09-27T22:53:37.721859100
"หลักการเขียนโปรแกรม","nanazenislovingShop","ฝ่ายตำราวิชาการคอมพิวเตอร์",9786160804,"หนังสือเรียน","""หลักการเขียนโปรแกรม"" เล่มนี้ นำเสนอเนื้อหาตรงตามหลักสูตรประกาศนียบัตรวิชาชีพ (ปวช.) รายวิชาหลักการเขียนโปรแกรม (2201-2410) โดยจะได้เรียนรู้ถึงความสำคัญของอัลกอริทึม เข้าใจตรรกะเกี่ยวกับโปรแกรม เรียนรู้ทักษะและวิธีการเขียนโปรแกรมที่ถูกต้อง","การเรียนรู้",หลักการเขียนโปรแกรม-2021-SEPTEMBER-27-0220.png,6,304,1,79.2,2021-09-27T22:53:37.721859100
"สตรีต้องมีสมอง","nanazenislovingShop","ฉางเย่ว",9786168240,"นิยาย","'ซ่งเชียน' ไม่เข้าใจว่าตนเองผิดพลาดประการใด จึงทำให้คู่หมั้นไปมีหญิงอื่น ท่าทีโลเลอยากจะเก็บสตรีสองนางไว้ข้างกาย","ไป่เหอ",สตรีต้องมีสมอง-2021-SEPTEMBER-24-22122.png,5,200,1,436.05,2021-09-27T10:53:37.721859100
"สตรีต้องมีสมอง","nanazenislovingShop","ฉางเย่ว",9786168240,"นิยาย","'ซ่งเชียน' ไม่เข้าใจว่าตนเองผิดพลาดประการใด จึงทำให้คู่หมั้นไปมีหญิงอื่น ท่าทีโลเลอยากจะเก็บสตรีสองนางไว้ข้างกาย","ไป่เหอ",สตรีต้องมีสมอง-2021-SEPTEMBER-24-22122.png,5,200,1,436.05,2021-09-27T10:53:37.721859100
"แฮร์รี่ พอตเตอร์ กับศิลาอาถรรพ์","nanazenislovingShop","J.K. Rowling (เจ.เค. โรว์ลิ่ง)",9786160439225,"หนังสือแฟนตาซี","""แฮร์รี่ พอตเตอร์"" ไม่เคยได้ยินชื่อ ""ฮอกวอตส์"" คาถาพ่อมดแม่และเวทมนตร์ศาสตร์ฮอกวอตส์! การผจญภัยแสนมหัศจรรย์กำลังจะเริ่มขึ้นแล้ว!","นานมีบุ๊คส์",book30_harrypotter.jpg,20,368,5,375.25,2021-09-26T12:55:37.721859100
"แฮร์รี่ พอตเตอร์ กับศิลาอาถรรพ์","nanazenislovingShop","J.K. Rowling (เจ.เค. โรว์ลิ่ง)",9786160439225,"หนังสือแฟนตาซี","""แฮร์รี่ พอตเตอร์"" ไม่เคยได้ยินชื่อ ""ฮอกวอตส์"" คาถาพ่อมดแม่และเวทมนตร์ศาสตร์ฮอกวอตส์! การผจญภัยแสนมหัศจรรย์กำลังจะเริ่มขึ้นแล้ว!","นานมีบุ๊คส์",book30_harrypotter.jpg,20,368,5,375.25,2021-09-26T12:55:37.721859100
"อาชีพกระจอกแล้วทำไมยังไงข้าก็เทพ","Frinz za shop","shirakome ryo",9746165740318,"หนังสือการ์ตูน","เรื่องราวปั่นๆของฮาจิเมะ ที่อาชีพกระจอกแล้วทำไม ยังไงข้าก็เทพ !","First Page",book20_iamcoolgirl.jpg,10,320,1,280.59,2021-09-26T12:53:37.721859100
"โฮริมิยะ สาวมั่นกับนายมืดมน","TAMTAM Shop","Hero",9746165750318,"หนังสือการ์ตูน","จู่ๆ นาคามิเนะ อ.วิชาฟิสิกส์ผู้แสนลึกลับกับยูกิ ก็เกิดทำตัวใกล้ชิดกันขึ้นมาซะดื้อๆ !?","Siam Inter Comics",book10_horimiya_cartoon.jpg,4,184,2,80.2,2021-09-26T10:53:37.721859100
